#Organism Name,Strain,Assembly,Level,Size(Mb),GC%,Replicons,GenBank FTP,RefSeq FTP
"Salmonella enterica subsp. enterica serovar Cerro str. CFSAN001588","CFSAN001588","GCA_000505365.2","Complete",4.76824,52.169,"chromosome:NZ_CP012833.1/CP012833.1; plasmid pCFSAN001588_001:NZ_CP012834.1/CP012834.1; plasmid pCFSAN001588_002:NZ_CP012835.1/CP012835.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/505/365/GCA_000505365.2_ASM50536v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/505/365/GCF_000505365.2_ASM50536v2"
"Salmonella enterica","SA20080453","GCA_003325115.1","Complete",4.6903,51.6228,"chromosome:NZ_CP030194.1/CP030194.1; plasmid pSA20080453.1:NZ_CP030195.1/CP030195.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/325/115/GCA_003325115.1_ASM332511v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/325/115/GCF_003325115.1_ASM332511v1"
"Escherichia coli","D2","GCA_001900615.1","Complete",4.87691,50.7008,"chromosome:NZ_CP010137.1/CP010137.1; plasmid A:NZ_CP010138.1/CP010138.1; plasmid B:NZ_CP010139.1/CP010139.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/900/615/GCA_001900615.1_ASM190061v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/900/615/GCF_001900615.1_ASM190061v1"
"Escherichia coli","13P460A","GCA_002968935.1","Complete",5.06406,50.7923,"chromosome:NZ_CP019271.1/CP019271.1; plasmid p13P460A-1:NZ_CP019272.1/CP019272.1; plasmid p13P460A-2:NZ_CP021087.1/CP021087.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/968/935/GCA_002968935.1_ASM296893v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/968/935/GCF_002968935.1_ASM296893v1"
"Salmonella enterica subsp. enterica serovar Oranienburg","CFSAN076211","GCA_003710145.1","Complete",4.65113,52.1,"chromosome:NZ_CP033344.1/CP033344.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/710/145/GCA_003710145.1_ASM371014v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/710/145/GCF_003710145.1_ASM371014v1"
"Salmonella enterica subsp. enterica serovar Javiana","FARPER-220","GCA_006740725.1","Complete",4.65111,52.2,"chromosome:NZ_CP038233.1/CP038233.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/740/725/GCA_006740725.1_ASM674072v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/740/725/GCF_006740725.1_ASM674072v1"
"Escherichia coli","SCEC020026","GCA_002164975.2","Complete",4.91391,50.5707,"chromosome:NZ_CP034958.1/CP034958.1; plasmid p1_020026:NZ_CP034954.1/CP034954.1; plasmid p2_020026:NZ_CP034955.1/CP034955.1; plasmid pCTXM15_020026:NZ_CP034956.1/CP034956.1; plasmid pNDM5_020026:NZ_CP034957.1/CP034957.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/164/975/GCA_002164975.2_ASM216497v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/164/975/GCF_002164975.2_ASM216497v2"
"Escherichia coli","ET12567","GCA_009395265.1","Complete",4.76264,50.6,"chromosome:CP045457.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/395/265/GCA_009395265.1_ASM939526v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/395/265/GCF_009395265.1_ASM939526v1"
"Salmonella enterica subsp. enterica serovar Mikawasima","RSE15","GCA_003994575.1","Complete",4.777,52.2576,"chromosome:NZ_CP034713.1/CP034713.1; plasmid pRSE15:NZ_CP034714.1/CP034714.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/994/575/GCA_003994575.1_ASM399457v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/994/575/GCF_003994575.1_ASM399457v1"
"Salmonella enterica subsp. enterica serovar Waycross","RSE24","GCA_003994735.1","Complete",4.7327,52.1394,"chromosome:NZ_CP034707.1/CP034707.1; plasmid pRSE24:NZ_CP034708.1/CP034708.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/994/735/GCA_003994735.1_ASM399473v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/994/735/GCF_003994735.1_ASM399473v1"
"Escherichia coli","6409","GCA_000814145.2","Complete",5.1065,50.9086,"chromosome:NZ_CP010371.1/CP010371.1; plasmid p6409-151.583kb:NZ_CP010372.1/CP010372.1; plasmid p6409-202.186kb:NZ_CP010373.2/CP010373.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/145/GCA_000814145.2_ASM81414v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/814/145/GCF_000814145.2_ASM81414v2"
"Escherichia coli","KSC64","GCA_002163695.1","Complete",4.75972,50.6,"chromosome:NZ_CP018840.1/CP018840.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/163/695/GCA_002163695.1_ASM216369v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/163/695/GCF_002163695.1_ASM216369v1"
"Salmonella enterica subsp. enterica serovar Mikawasima","RSE13","GCA_003994595.1","Complete",4.64962,52.3,"chromosome:NZ_CP034715.1/CP034715.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/994/595/GCA_003994595.1_ASM399459v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/994/595/GCF_003994595.1_ASM399459v1"
"Salmonella enterica subsp. enterica serovar Oranienburg str. 0250","CFSAN001285","GCA_000486815.2","Complete",4.64888,52.1,"chromosome:NZ_CP019197.1/CP019197.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/486/815/GCA_000486815.2_ASM48681v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/486/815/GCF_000486815.2_ASM48681v2"
"Escherichia coli","BA22372","GCA_005671355.1","Complete",4.90924,50.568,"chromosome:NZ_CP040397.1/CP040397.1; plasmid pCTX-M-15_22372:NZ_CP040398.1/CP040398.1; plasmid pOXA181_22372:NZ_CP040399.1/CP040399.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/671/355/GCA_005671355.1_ASM567135v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/671/355/GCF_005671355.1_ASM567135v1"
"Escherichia coli","ST540","GCA_000597845.1","Complete",4.75863,51.1,"chromosome:NZ_CP007265.1/CP007265.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/597/845/GCA_000597845.1_ASM59784v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/597/845/GCF_000597845.1_ASM59784v1"
"Salmonella enterica subsp. enterica serovar Antsalova str. S01-0511","S01-0511","GCA_001956735.1","Complete",4.64809,52.3,"chromosome:NZ_CP019116.1/CP019116.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/956/735/GCA_001956735.1_ASM195673v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/956/735/GCF_001956735.1_ASM195673v1"
"Salmonella enterica subsp. enterica serovar Goldcoast","R18.0877","GCA_004358925.1","Complete",4.9273,52.0194,"chromosome:NZ_CP037960.1/CP037960.1; plasmid pR18.0877_278k:NZ_CP037959.1/CP037959.1; plasmid pR18.0877_3.3k:NZ_CP037958.1/CP037958.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/358/925/GCA_004358925.1_ASM435892v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/358/925/GCF_004358925.1_ASM435892v1"
"Escherichia coli","Escherichia coli str. TO73","GCA_900520305.1","Complete",4.89201,50.7664,"chromosome 1:NZ_LS992171.1/LS992171.1; plasmid 2:NZ_LS992172.1/LS992172.1; plasmid 3:NZ_LS992173.1/LS992173.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/520/305/GCA_900520305.1_ASM90052030v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/520/305/GCF_900520305.1_ASM90052030v1"
"Escherichia coli","NCTC9008","GCA_900636195.1","Complete",4.75734,50.9,"chromosome 1:NZ_LR134236.1/LR134236.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/195/GCA_900636195.1_39220_B01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/195/GCF_900636195.1_39220_B01"
"Salmonella enterica subsp. enterica serovar Goldcoast","Sal-5364","GCA_006228345.1","Complete",4.92392,52.0173,"chromosome:NZ_CP039169.1/CP039169.1; plasmid pSal-5364:NZ_CP039170.1/CP039170.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/228/345/GCA_006228345.1_ASM622834v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/228/345/GCF_006228345.1_ASM622834v1"
"Salmonella enterica subsp. enterica serovar Aberdeen","NCTC5791","GCA_900477885.1","Complete",4.64464,52.3,"chromosome 1:NZ_LS483453.1/LS483453.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/477/885/GCA_900477885.1_46801_F01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/477/885/GCF_900477885.1_46801_F01"
"Escherichia coli","NCTC12655","GCA_900635235.1","Complete",4.75732,50.7,"chromosome 1:NZ_LR134083.1/LR134083.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/235/GCA_900635235.1_40105_D02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/635/235/GCF_900635235.1_40105_D02"
"Escherichia coli","RM14723","GCA_003043915.1","Complete",4.75403,50.6,"chromosome:NZ_CP027103.1/CP027103.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/043/915/GCA_003043915.1_ASM304391v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/043/915/GCF_003043915.1_ASM304391v1"
"Salmonella enterica subsp. enterica serovar Stanleyville","RSE10","GCA_003994615.1","Complete",4.64383,52.1,"chromosome:NZ_CP034716.1/CP034716.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/994/615/GCA_003994615.1_ASM399461v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/994/615/GCF_003994615.1_ASM399461v1"
"Salmonella enterica subsp. arizonae","NCTC7306","GCA_900635595.1","Complete",4.64228,51.4,"chromosome 1:NZ_LR134150.1/LR134150.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/595/GCA_900635595.1_31340_H02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/635/595/GCF_900635595.1_31340_H02"
"Escherichia coli","Ec40743","GCA_007632435.1","Complete",5.03843,50.7007,"chromosome:NZ_CP041919.1/CP041919.1; plasmid unnamed1:NZ_CP041920.1/CP041920.1; plasmid unnamed2:NZ_CP041921.1/CP041921.1; plasmid unnamed3:NZ_CP041922.1/CP041922.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/632/435/GCA_007632435.1_ASM763243v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/632/435/GCF_007632435.1_ASM763243v1"
"Salmonella enterica subsp. enterica serovar Enteritidis","AUSMDU00010527","GCA_009664895.1","Complete",4.68367,52.238,"chromosome:NZ_CP045956.1/CP045956.1; plasmid pAUSMDU00010527:NZ_CP045957.1/CP045957.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/664/895/GCA_009664895.1_ASM966489v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/664/895/GCF_009664895.1_ASM966489v1"
"Salmonella enterica subsp. enterica serovar Yovokome str. S-1850","S-1850","GCA_001975645.1","Complete",4.64093,52.2,"chromosome:NZ_CP019418.1/CP019418.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/975/645/GCA_001975645.1_ASM197564v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/975/645/GCF_001975645.1_ASM197564v1"
"Escherichia coli","EC-TO75","GCA_900497095.1","Complete",4.89942,50.7109,"chromosome 1:NZ_LS998785.1/LS998785.1; plasmid 2:NZ_LS998786.1/LS998786.1; plasmid 3:NZ_LS998787.1/LS998787.1; plasmid 4:NZ_LS998788.1/LS998788.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/497/095/GCA_900497095.1_ASM90049709v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/497/095/GCF_900497095.1_ASM90049709v1"
"Escherichia coli","WCHEC020031","GCA_003711045.1","Complete",4.89476,50.566,"chromosome:NZ_CP033401.1/CP033401.1; plasmid p1_020031:NZ_CP033397.1/CP033397.1; plasmid p2_020031:NZ_CP033398.1/CP033398.1; plasmid pNDM5_020031:NZ_CP033399.1/CP033399.1; plasmid pOXA1_020031:NZ_CP033400.1/CP033400.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/711/045/GCA_003711045.1_ASM371104v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/711/045/GCF_003711045.1_ASM371104v1"
"Salmonella enterica","SA20055162","GCA_003325315.1","Complete",4.64073,51.7,"chromosome:NZ_CP030238.1/CP030238.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/325/315/GCA_003325315.1_ASM332531v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/325/315/GCF_003325315.1_ASM332531v1"
"Salmonella enterica subsp. enterica","BAA-1586","GCA_003429425.1","Complete",4.73387,52.2483,"chromosome:NZ_CP023468.1/CP023468.1; plasmid pSalMiami:NZ_CP023469.1/CP023469.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/429/425/GCA_003429425.1_ASM342942v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/429/425/GCF_003429425.1_ASM342942v1"
"Escherichia coli","FORC_081","GCA_004368015.1","Complete",5.13561,50.5737,"chromosome:NZ_CP029057.1/CP029057.1; plasmid pFORC_081_1:NZ_CP029058.1/CP029058.1; plasmid pFORC_081_2:NZ_CP029059.1/CP029059.1; plasmid pFORC_081_3:NZ_CP029060.1/CP029060.1; plasmid pFORC_081_4:NZ_CP029061.1/CP029061.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/368/015/GCA_004368015.1_ASM436801v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/368/015/GCF_004368015.1_ASM436801v1"
"Escherichia coli","EcMAD1","GCA_901733115.1","Complete",4.89989,50.5665,"chromosome EcMAD:NZ_LR595691.1/LR595691.1; plasmid pEcMAD1:NZ_LR595692.1/LR595692.1; plasmid pEcMAD2:NZ_LR595693.1/LR595693.1; plasmid pEcMAD3:NZ_LR595694.1/LR595694.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/733/115/GCA_901733115.1_Escherichia_coli_MAD","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/733/115/GCF_901733115.1_Escherichia_coli_MAD"
"Salmonella enterica subsp. enterica serovar Give","NCTC5778","GCA_900477925.1","Complete",4.63806,52.2,"chromosome 1:NZ_LS483463.1/LS483463.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/477/925/GCA_900477925.1_46801_C01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/477/925/GCF_900477925.1_46801_C01"
"Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. RKS5078","RKS5078","GCA_000235545.1","Complete",4.63796,52.2,"chromosome:NC_016831.1/CP003047.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/545/GCA_000235545.1_ASM23554v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/545/GCF_000235545.1_ASM23554v1"
"Escherichia coli","Ecol_422","GCA_002012185.1","Complete",5.2158,50.5447,"chromosome:NZ_CP018962.1/CP018962.1; plasmid pEC422_1:NZ_CP018961.1/CP018961.1; plasmid pEC422_2:NZ_CP018960.1/CP018960.1; plasmid pEC422_4:NZ_CP018958.1/CP018958.1; plasmid pEC422_KPC:NZ_CP018959.1/CP018959.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/012/185/GCA_002012185.1_ASM201218v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/012/185/GCF_002012185.1_ASM201218v1"
"Escherichia coli ATCC 8739","ATCC 8739","GCA_003591595.1","Complete",4.74692,50.9,"chromosome:NZ_CP022959.1/CP022959.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/591/595/GCA_003591595.1_ASM359159v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/591/595/GCF_003591595.1_ASM359159v1"
"Salmonella enterica","CFSAN064033","GCA_003030125.1","Complete",4.72656,52.2166,"chromosome:NZ_CP028172.1/CP028172.1; plasmid pGMI17-001_1:NZ_CP028173.1/CP028173.1; plasmid pGMI17-001_2:NZ_CP028174.1/CP028174.1; plasmid pGMI17-001_3:NZ_CP028175.1/CP028175.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/030/125/GCA_003030125.1_ASM303012v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/030/125/GCF_003030125.1_ASM303012v1"
"Salmonella enterica subsp. enterica serovar Typhi","ERL024120","GCA_001148125.2","Complete",4.63614,52.1,"chromosome 1:NZ_LT905088.1/LT905088.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/148/125/GCA_001148125.2_ERL024120","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/148/125/GCF_001148125.2_ERL024120"
"Escherichia coli","AR_0137","GCA_002201835.1","Complete",5.08516,50.8251,"chromosome:NZ_CP021879.1/CP021879.1; plasmid tig00001069_pilon:NZ_CP021880.1/CP021880.1; plasmid tig00001145_pilon:NZ_CP021881.1/CP021881.1; plasmid tig00001287_pilon:NZ_CP021882.1/CP021882.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/201/835/GCA_002201835.1_ASM220183v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/201/835/GCF_002201835.1_ASM220183v1"
"Escherichia coli ATCC 8739","ATCC 8739","GCA_000019385.1","Complete",4.74622,50.9,"chromosome:NC_010468.1/CP000946.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/385/GCA_000019385.1_ASM1938v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/385/GCF_000019385.1_ASM1938v1"
"Salmonella enterica subsp. enterica serovar Anatum str. USDA-ARS-USMARC-1781","USDA-ARS-USMARC-1781","GCA_001623665.2","Complete",4.6357,52.2,"chromosome:NZ_CP014666.2/CP014666.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/623/665/GCA_001623665.2_ASM162366v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/623/665/GCF_001623665.2_ASM162366v2"
"Salmonella enterica subsp. enterica serovar Typhimurium","FORC88","GCA_005166225.1","Complete",4.63428,52.1,"chromosome:NZ_CP029029.1/CP029029.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/166/225/GCA_005166225.1_ASM516622v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/166/225/GCF_005166225.1_ASM516622v1"
"Escherichia coli K-12","C3026","GCA_001559675.1","Complete",4.95918,50.7569,"chromosome:NZ_CP014272.1/CP014272.1; plasmid F128-(C3026):NZ_CP014273.1/CP014273.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/559/675/GCA_001559675.1_ASM155967v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/675/GCF_001559675.1_ASM155967v1"
"Escherichia coli","NCTC9107","GCA_900636245.1","Complete",4.74298,50.9,"chromosome 1:NZ_LR134240.1/LR134240.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/245/GCA_900636245.1_39610_F01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/245/GCF_900636245.1_39610_F01"
"Salmonella enterica subsp. enterica serovar Javiana str. CFSAN001992","CFSAN001992","GCA_000341425.1","Complete",4.67527,52.1662,"chromosome:NC_020307.1/CP004027.1; plasmid pCFSAN001992_1:NC_020306.1/CP004026.1; plasmid pCFSAN001992_2:NC_020308.1/CP004028.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/425/GCA_000341425.1_ASM34142v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/341/425/GCF_000341425.1_ASM34142v1"
"Salmonella enterica subsp. enterica serovar Hadar","12-2388","GCA_004768645.1","Complete",4.7035,52.2312,"chromosome:NZ_CP038595.1/CP038595.1; plasmid p12-2388.1:NZ_CP038596.1/CP038596.1; plasmid p12-2388.2:NZ_CP038597.1/CP038597.1; plasmid p12-2388.3:NZ_CP038598.1/CP038598.1; plasmid p12-2388.4:NZ_CP038599.1/CP038599.1; plasmid p12-2388.5:NZ_CP038600.1/CP038600.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/768/645/GCA_004768645.1_ASM476864v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/768/645/GCF_004768645.1_ASM476864v1"
"Escherichia coli","PigCaeca_1","GCA_004801575.1","Complete",4.89848,50.7684,"chromosome:NZ_CP039298.1/CP039298.1; plasmid unnamed1:NZ_CP039299.1/CP039299.1; plasmid unnamed2:NZ_CP039300.1/CP039300.1; plasmid unnamed3:NZ_CP039301.1/CP039301.1; plasmid unnamed4:NZ_CP039302.1/CP039302.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/801/575/GCA_004801575.1_ASM480157v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/801/575/GCF_004801575.1_ASM480157v1"
"Escherichia coli","H15","GCA_001901005.1","Complete",4.85797,50.7976,"chromosome:NZ_CP010178.1/CP010178.1; plasmid A:NZ_CP010179.1/CP010179.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/901/005/GCA_001901005.1_ASM190100v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/005/GCF_001901005.1_ASM190100v1"
"Salmonella enterica subsp. enterica serovar Schwarzengrund","9355","GCA_009388185.1","Complete",4.91102,51.8762,"chromosome:NZ_CP045444.1/CP045444.1; plasmid p280_9355:NZ_CP045446.1/CP045446.1; plasmid p2_9355:NZ_CP045445.1/CP045445.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/388/185/GCA_009388185.1_ASM938818v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/388/185/GCF_009388185.1_ASM938818v1"
"Salmonella enterica subsp. enterica serovar Infantis","NCTC6703","GCA_900478235.1","Complete",4.63034,52.3,"chromosome 1:NZ_LS483479.1/LS483479.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/478/235/GCA_900478235.1_49950_B01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/478/235/GCF_900478235.1_49950_B01"
"Escherichia coli","13C1079T","GCA_002951795.1","Complete",4.93862,50.6271,"chromosome:NZ_CP019267.1/CP019267.1; plasmid p13C1079T-1:NZ_CP019268.1/CP019268.1; plasmid p13C1079T-2:NZ_CP019269.1/CP019269.1; plasmid p13C1079T-3:NZ_CP019270.1/CP019270.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/951/795/GCA_002951795.1_ASM295179v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/951/795/GCF_002951795.1_ASM295179v1"
"Escherichia coli","S56","GCA_001901445.1","Complete",4.99252,50.8244,"chromosome:NZ_CP010242.1/CP010242.1; plasmid A:NZ_CP010243.1/CP010243.1; plasmid B:NZ_CP010244.1/CP010244.1; plasmid C:NZ_CP010245.1/CP010245.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/901/445/GCA_001901445.1_ASM190144v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/901/445/GCF_001901445.1_ASM190144v1"
"Salmonella enterica subsp. enterica serovar Schwarzengrund","12888","GCA_009387895.1","Complete",4.90993,51.8762,"chromosome:NZ_CP045447.1/CP045447.1; plasmid p280_12888:NZ_CP045449.1/CP045449.1; plasmid p3_12888:NZ_CP045448.1/CP045448.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/387/895/GCA_009387895.1_ASM938789v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/387/895/GCF_009387895.1_ASM938789v1"
"Salmonella enterica subsp. enterica serovar Bredeney","NCTC6026","GCA_900478205.1","Complete",4.62708,52.2,"chromosome 1:NZ_LS483481.1/LS483481.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/478/205/GCA_900478205.1_49386_D02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/478/205/GCF_900478205.1_49386_D02"
"Escherichia coli","ECCWS199","GCA_003571765.1","Complete",5.05936,50.7609,"chromosome:NZ_CP032237.1/CP032237.1; plasmid pTB221:NZ_CP032238.1/CP032238.1; plasmid pTB222:NZ_CP032239.1/CP032239.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/571/765/GCA_003571765.1_ASM357176v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/571/765/GCF_003571765.1_ASM357176v1"
"Escherichia coli","NCTC9088","GCA_900636105.1","Complete",4.73667,50.8,"chromosome 1:NZ_LR134226.1/LR134226.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/105/GCA_900636105.1_38936_F01","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/105/GCF_900636105.1_38936_F01"
"Salmonella enterica subsp. enterica serovar Quebec str. S-1267","S-1267","GCA_002208315.1","Complete",4.64531,52.208,"chromosome:NZ_CP022019.1/CP022019.1; plasmid punamed1:NZ_CP022018.1/CP022018.1; plasmid punamed2:NZ_CP022017.1/CP022017.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/208/315/GCA_002208315.1_ASM220831v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/208/315/GCF_002208315.1_ASM220831v1"
"Salmonella enterica subsp. enterica serovar Sundsvall","NCTC9787","GCA_900477905.1","Complete",4.62667,52.2,"chromosome 1:NZ_LS483457.1/LS483457.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/477/905/GCA_900477905.1_46983_G02","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/477/905/GCF_900477905.1_46983_G02"
"Escherichia coli","1500","GCA_008642415.1","Complete",4.83159,50.6803,"chromosome:NZ_CP040269.1/CP040269.1; plasmid pEc1500_2:NZ_CP040271.1/CP040271.1; plasmid pEc1500_CTX:NZ_CP040270.1/CP040270.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/642/415/GCA_008642415.1_ASM864241v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/642/415/GCF_008642415.1_ASM864241v1"
